municipality,urban_file,year,population,lpcd_mean,lpcd_lower90,lpcd_upper90,annual_m3_mean,annual_m3_lower90,annual_m3_upper90,mean_monthly_m3,monthly_m3_lower90,monthly_m3_upper90,flag,n_overlap_years,cv_ratio
Pandi,Urban_3,2006,59225.2,13.846624899751795,10.926380339086416,18.509128263921312,299325.23208966467,236197.72721333816,400115.4904885832,24943.76934080539,19683.143934444848,33342.957540715266,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2007,61081.4,13.440342539290231,10.605782675207731,17.96604051686415,299648.5526544819,236452.85967256327,400547.68113777693,24970.712721206826,19704.404972713604,33378.97342814808,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2008,62937.6,13.061219401034462,10.30661637050016,17.459257178353827,300045.25779370946,236765.89994519667,401077.966774752,25003.771482809123,19730.49166209972,33423.163897896,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2009,64793.8,12.732512304386503,10.047233395649965,17.01986621794532,301120.5673480048,237614.4273847386,402515.3598295916,25093.38061233373,19801.20228206155,33542.946652465966,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2010,66650.0,13.777359953794242,10.871723327058016,18.416540086065428,335165.279935941,264479.13130817213,448023.7748087352,27930.43999466175,22039.927609014343,37335.3145673946,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2011,71135.0,21.06933469160992,21.06933469160992,21.06933469160992,547050.0,547050.0,547050.0,45587.5,45587.5,45587.5,observed,14.0,0.1223343371158667
Pandi,Urban_3,2012,75620.0,23.299554731117738,23.299554731117738,23.299554731117738,643098.0,643098.0,643098.0,53591.5,53591.5,53591.5,observed,14.0,0.1223343371158667
Pandi,Urban_3,2013,80105.0,25.106226160356314,25.106226160356314,25.106226160356314,734064.0,734064.0,734064.0,61172.0,61172.0,61172.0,observed,14.0,0.1223343371158667
Pandi,Urban_3,2014,84590.0,27.84007306799761,27.84007306799761,27.84007306799761,859572.0,859572.0,859572.0,71631.0,71631.0,71631.0,observed,14.0,0.1223343371158667
Pandi,Urban_3,2015,89075.0,31.26157347779115,31.26157347779115,31.26157347779115,1016388.0,1016388.0,1016388.0,84699.0,84699.0,84699.0,observed,14.0,0.1223343371158667
Pandi,Urban_3,2016,102283.0,29.55956606562587,29.55956606562587,29.55956606562587,1103556.0,1103556.0,1103556.0,91963.0,91963.0,91963.0,observed,14.0,0.1223343371158667
Pandi,Urban_3,2017,115491.0,28.48469601438433,28.48469601438433,28.48469601438433,1200750.0,1200750.0,1200750.0,100062.5,100062.5,100062.5,observed,14.0,0.1223343371158667
Pandi,Urban_3,2018,128699.0,24.00452920465263,24.00452920465263,24.00452920465263,1127616.0,1127616.0,1127616.0,93968.0,93968.0,93968.0,observed,14.0,0.1223343371158667
Pandi,Urban_3,2019,141907.0,30.032982241601218,30.032982241601218,30.032982241601218,1555590.0,1555590.0,1555590.0,129632.5,129632.5,129632.5,observed,14.0,0.1223343371158667
Pandi,Urban_3,2020,155115.0,33.02518370153121,33.02518370153121,33.02518370153121,1869786.0,1869786.0,1869786.0,155815.5,155815.5,155815.5,observed,14.0,0.1223343371158667
Pandi,Urban_3,2021,157017.5,35.687148561880484,35.687148561880484,35.687148561880484,2045280.0,2045280.0,2045280.0,170440.0,170440.0,170440.0,observed,14.0,0.1223343371158667
Pandi,Urban_3,2022,158920.0,37.072568605208446,37.072568605208446,37.072568605208446,2150424.0,2150424.0,2150424.0,179202.0,179202.0,179202.0,observed,14.0,0.1223343371158667
Pandi,Urban_3,2023,160822.5,41.996679313554445,41.996679313554445,41.996679313554445,2465214.0,2465214.0,2465214.0,205434.5,205434.5,205434.5,observed,14.0,0.1223343371158667
Pandi,Urban_3,2024,162725.0,43.12090530077427,43.12090530077427,43.12090530077427,2561150.0,2561150.0,2561150.0,213429.16666666666,213429.16666666666,213429.16666666666,observed,14.0,0.1223343371158667
Plaridel,Urban_3,2000,80481.0,57.35922352450157,49.65024370229571,126.8759974645814,1684959.5989935251,1458503.9611426282,3727054.1104606465,140413.2999161271,121541.99676188569,310587.8425383872,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2001,82577.0,76.07230718413037,65.84832148354634,168.2684886641769,2292865.362275536,1984708.2477485845,5071714.050773934,191072.11352296136,165392.3539790487,422642.8375644945,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2002,84673.0,73.29559536100314,63.444794897269894,162.12652821590697,2265247.65029081,1960802.308192835,5010624.926123304,188770.63752423416,163400.1923494029,417552.077176942,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2003,86769.0,70.74240126610357,61.23474564552443,156.4789788314093,2240460.3066423675,1939346.3403945258,4955796.447691233,186705.02555353064,161612.19503287715,412983.03730760276,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2004,88865.0,68.38642473949473,59.19540826409962,151.26766575132638,2218163.266583448,1920045.9837170627,4906476.407701941,184846.93888195397,160003.8319764219,408873.0339751618,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2005,90961.0,66.20631125628093,57.30829823908352,146.44535373640554,2198100.1815366377,1902679.3423857258,4862097.774744271,183175.01512805314,158556.61186547714,405174.8145620226,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2006,93057.0,64.18278383573508,55.55672938241197,141.9694029807434,2180019.92012173,1887029.0366407756,4822105.057610349,181668.32667681083,157252.41972006464,401842.0881341957,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2007,95153.0,62.2995571933896,53.92660512350933,137.80379117469457,2163716.2644522497,1872916.5639208087,4786042.111700687,180309.68870435414,156076.38032673407,398836.84264172387,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2008,97249.0,60.54222075899022,52.40545164768548,133.91664279131328,2148999.7057057293,1860177.885059304,4753489.752106534,179083.30880881078,155014.82375494202,396124.14600887784,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2009,99345.0,59.01857606707644,51.08658215083962,130.54640992918954,2140068.160375053,1852446.7238779336,4733733.579461596,178339.01336458776,154370.56032316113,394477.79828846635,backcast_mid,15.0,0.2154958391363744
Plaridel,Urban_3,2010,101441.0,107.1483754711052,107.1483754711052,107.1483754711052,3967272.0,3967272.0,3967272.0,330606.0,330606.0,330606.0,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2011,102713.8,109.3613569738945,109.3613569738945,109.3613569738945,4100016.0,4100016.0,4100016.0,341668.0,341668.0,341668.0,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2012,103986.6,116.20364467929733,116.20364467929733,116.20364467929733,4410522.0,4410522.0,4410522.0,367543.5,367543.5,367543.5,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2013,105259.4,119.425353896093,119.425353896093,119.425353896093,4588284.0,4588284.0,4588284.0,382357.0,382357.0,382357.0,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2014,106532.2,126.2428263698418,126.2428263698418,126.2428263698418,4908858.0,4908858.0,4908858.0,409071.5,409071.5,409071.5,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2015,107805.0,129.49636996784528,129.49636996784528,129.49636996784528,5095530.0,5095530.0,5095530.0,424627.5,424627.5,424627.5,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2016,109130.4,137.19236376157858,137.19236376157858,137.19236376157858,5464728.0,5464728.0,5464728.0,455394.0,455394.0,455394.0,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2017,110455.8,148.8032887487109,148.8032887487109,148.8032887487109,5999208.0,5999208.0,5999208.0,499934.0,499934.0,499934.0,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2018,111781.2,153.03904119147833,153.03904119147833,153.03904119147833,6244014.0,6244014.0,6244014.0,520334.5,520334.5,520334.5,observed,15.0,0.2154958391363744
Plaridel,Urban_3,2019,113106.6,96.58169724189636,96.58169724189636,96.58169724189636,3987270.0,3987270.0,3987270.0,332272.5,332272.5,332272.5,observed,15.0,0.2154958391363744
